genre,manga_count
ァンタジー,2
婚約破棄,2
一般女性向け,2
週刊少年ジャンプ,2
bluepic,2
SamyangC&C,2
巫女,2
時代モノ,2
fantasy,2
パズル,2
考古学,2
対決,2
アスリート,2
天聞角川,2
病院系,2
制服,2
準新作,2
パイズリ,2
カッコいい,2
Cat servant studio,2
スライスオブライフ,2
女性コミック誌,2
仕事,2
ハイファンタジー,2
戦闘,2
執事,2
教師,2
D&CWEBTOONBiz,2
犬,2
ハッピー,2
スローライフ,2
DailyBooks,2
サイコ,2
CRACK Entertainment,2
聖女,2
法律,2
コンピューター,2
おっぱい,2
フェラ,2
JAYPLEMEDIA,2
解説,2
JOYPLE ENTERTAINMENT,2
GT ENT,2
旅行,2
宇宙,2
ツンデレ,2
ジョセイ,2
中世,2
カクヨム,2
CHINA LITERATURE,2
魔女,2
令嬢,2
メイド,2
田舎,2
集英社カラー版,2
モンスター娘,2
背徳,2
ダンス,2
水泳,2
人外娘,2
大富豪,2
女戦士,2
フィルムコミック,2
海外作品,2
学園モノ タ,1
スヌーピー,1
競輪,1
女医,1
マンガ,1
恋愛. ロボット,1
コメディル,1
同期,1
少女愛,1
リア×ロマ,1
なろう,1
リンクスロマンス,1
観光,1
殺し屋,1
ユーリ,1
別の世界,1
ビーンズ文庫,1
輪姦,1
泣ける,1
Uncatgory,1
弟子,1
P_SHINE Partners,1
シリアス,1
マガジンポケット,1
アパンダ読切,1
シンデレラストーリー,1
最強,1
実用,1
声優,1
超自然,1
Manta Comics,1
別冊少年マガジン,1
電撃コミックス,1
亜人,1
執着,1
BL☆美少年ブック,1
神秘,1
フロンティアワークス,1
ご奉仕,1
武道,1
同棲,1
逆行,1
シガリロ,1
C＆R,1
ノベライズ,1
読書のお時間です編集部,1
ココハナ,1
アクチノン,1
スパダリ,1
家政夫,1
少年愛,1
HARTA COMIX,1
舞台化,1
ビッグスピリッツ,1
WHY NOT ME,1
ナゾトキ,1
ジャンプ,1
IIE STAR KOREA,1
ゆずソフト,1
恐竜,1
戦国時代,1
成人,1
離婚,1
離婚メーター,1
癒し系,1
強姦,1
妊婦,1
異種姦,1
子持ち,1
アツい,1
致命的な,1
レディースコミッ,1
彼の,1
裏少年サンデー,1
文学,1
夏目漱石,1
防災,1
ヤングアニマル,1
ヤングマガジン サード,1
Viewcommz,1
超能,1
お寿司,1
クール,1
ちゃお,1
和風,1
侍,1
平安,1
百合 タグ,1
電撃G’sコミック,1
お母さん,1
アナルセックス,1
巨尻,1
魔術,1
ダークヒーロー,1
BILIBILICOMICS,1
社会,1
グルメバトル,1
料理人,1
ざつ旅,1
クセになる,1
桃色エンジェル,1
アオハル,1
不良男子,1
ロリ,1
弁護士,1
ジュニア空想科学読本,1
学校の怪談,1
怪談,1
空想科学,1
都市伝説,1
問題作,1
クズ,1
黒髪,1
パロディネタ,1
鬼,1
オリンピック,1
特殊能力,1
Toonworks,1
Snap Culture,1
ダーク,1
後宮,1
週刊ヤングジャンプ,1
FANFAN COMIC,1
cchi,1
水曜日のシリウス,1
ジェイク本,1
柴田佳秀,1
ここではないどこかへ,1
フロースコミック,1
和風ファンタジー,1
双子,1
どこでもヤングチャンピオン,1
BJ魂,1
令嬢 ダーク系,1
チャンピオンRED,1
妊娠,1
父娘,1
親子,1
IMX,1
心霊,1
聖人,1
スーパーナチュラル,1
クンニ,1
完結,1
スターツ出版文庫,1
ドラマス,1
ポーツ,1
ホビー,1
モンスター,1
FEEL YOUNG,1
planNE&C,1
じょうせい,1
魔法少女,1
任侠,1
格闘,1
サレ妻,1
シタ夫,1
胸キュン,1
風俗,1
ショタコン,1
カドカワデジタルコミックス,1
男子校,1
無敵恋愛S*girl,1
お屋敷,1
レトロ,1
シェルパスタジオ,1
キリン,1
シマウマ,1
ファンタジー アクション,1
時間のスライス,1
レスキュー,1
歴史モノ,1
コメディ―,1
スクールライフ,1
ジェイク,1
海賊,1
上司部下,1
料理BL,1
月刊コミックブレイド,1
幻冬舎ルチル文庫,1
日,1
嫁姑,1
異世界転生,1
ラブコメコメ,1
姉弟,1
ミリタリー,1
ギスギスオンライン,1
ほだされ受け,1
失恋,1
黒髪攻め,1
ラブきゅんコミック,1
toontory,1
中二,1
中二病,1
騎士,1
電撃コミックスEX,1
Studio Zilpung,1
KWBOOKS×DAON,1
やり直し,1
アフリカウシガエル,1
consam,1
Terapin×KWBOOKS,1
少年アドベンチャー,1
推し,1
王子,1
整形,1
manhwakyung,1
ファタシー,1
没落,1
デジタルコミックコレクション,1
StoryPunch,1
配信者,1
人体,1
免疫,1
細胞,1
RS media,1
おじさん,1
ZERO-SUMコミックス,1
お料理,1
ライトBL,1
童貞,1
会社,1
COMIC BRIDGE,1
水曜日はまったりダッシュエックスコミック,1
アウトロー,1
BookCube,1
群像劇,1
ダルマ,1
Storytree,1
主婦,1
花音,1
お姫様,1
パイパン,1
天然,1
女性視点,1
搾乳,1
言葉責め,1
逆転無し,1
古事記,1
せつない,1
擬人化,1
ヨシゾー,1
ジュエルブックス　ピュアキス,1
使い魔,1
いちゃラブ,1
アート,1
芸術家,1
マンガMee,1
花丸文庫,1
アクショ,1
チート,1
婚約,1
ファンタジー.SF,1
漫画家,1
ハムスター,1
ロメイス,1
スピンオフ,1
笑える,1
推し活,1
美人受け,1
黒髪受け,1
ステリー,1
イタズラ,1
カップル,1
逆ナン,1
ラブ＆H,1
小柄,1
痴女,1
監禁,1
ほっこりタイム,1
性転換,1
オブ,1
LOVE,1
露出,1
ライフスタイル,1
探偵犯罪,1
日焼け,1
エース,1
特殊部隊,1
ファッション,1
アントワネット,1
チャイナドレス,1
競馬,1
体操,1
時代物,1
女子高校生,1
シーモアちゃんねる,1
わちゃわちゃんねる,1
スライス,1
BE,1
退廃,1
メカ,1
褐色,1
角川コミックス,1
警察,1
美容,1
マリー,1
ビジネスジャンプ増刊,1
ミニ系,1
バレエ,1
ライトアダルト,1
チャイナ,1
女体化,1
風俗嬢,1
くの一,1
未亡人,1
バニーガール,1
ふたなり,1
触手,1
吉原･花魁,1
Vシネマ,1
スキー･ウィンタースポーツ,1
イラスト集,1
パチンコ,1
オフィシャルブック,1
パチスロ,1
